127.0.0.1 - - [06/Jul/2017:12:24:15 -0400] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:33 -0400] "GET /logintest/ HTTP/1.1" 200 2978
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:34 -0400] "GET /logintest/js/jquery/jquery-3.1.1.js HTTP/1.1" 200 267194
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:34 -0400] "GET /logintest/js/jquery/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:34 -0400] "GET /logintest/js/angular_1-4-8.js HTTP/1.1" 200 1070726
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:34 -0400] "GET /logintest/css/pms.css HTTP/1.1" 200 7049
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:34 -0400] "GET /logintest/js/angular-animate-1.5.0.js HTTP/1.1" 200 149542
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:34 -0400] "GET /logintest/js/angular-touch_1.5.0.js HTTP/1.1" 200 26523
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:34 -0400] "GET /logintest/js/csv.js HTTP/1.1" 200 10688
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:34 -0400] "GET /logintest/js/pdfmake.js HTTP/1.1" 200 2664494
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:34 -0400] "GET /logintest/js/angular-route_1.2.13.js HTTP/1.1" 200 32505
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:34 -0400] "GET /logintest/js/vfs_fonts.js HTTP/1.1" 200 955603
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:34 -0400] "GET /logintest/js/ui-grid.min.js HTTP/1.1" 200 317389
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:34 -0400] "GET /logintest/css/ui-grid.css HTTP/1.1" 200 56076
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:34 -0400] "GET /logintest/js/datepicker/date.min_1.0.1.js HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:34 -0400] "GET /logintest/css/jquery-ui_1.11.4.css HTTP/1.1" 200 35348
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:34 -0400] "GET /logintest/css/bootstrap.min_3.3.7.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:34 -0400] "GET /logintest/js/datepicker/bootstrap.min_3.3.7.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:34 -0400] "GET /logintest/js/example.js HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:34 -0400] "GET /logintest/js/datepicker/ui-bootstrap-tpls-0.12.0.js HTTP/1.1" 200 142792
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:36 -0400] "GET /logintest/index.js?1499358336895 HTTP/1.1" 200 11877
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:37 -0400] "GET /favicon.ico HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:37 -0400] "GET /logintest/login.html HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:25:37 -0400] "GET /logintest/img/page-loader.gif HTTP/1.1" 200 46809
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:26:04 -0400] "POST /logintest/app/login/authenticate2/ HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:26:09 -0400] "GET /logintest/jGrid.html HTTP/1.1" 200 8025
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:26:09 -0400] "GET /logintest/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:26:12 -0400] "GET /logintest/css/ui-grid.woff HTTP/1.1" 200 5728
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:26:13 -0400] "GET /logintest/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:26:13 -0400] "GET /logintest/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:26:32 -0400] "GET /logintest/app/login/getUsers4/?status= HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:27:52 -0400] "GET /logintest/app/login/getUsers4/?dateCompletedFrom=2017-07-12T04:00:00.000Z&dateRequestedFrom=2017-07-11T04:00:00.000Z&lastName=ggg&requestedId=2017-07-11T04:00:00.000Z&status= HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:28:04 -0400] "GET /logintest/app/login/getUsers4/?lastName=&status= HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:28:14 -0400] "GET /logintest/app/login/getUsers4/?firstName=name&lastName=&status= HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:28:21 -0400] "GET /logintest/app/login/getUsers4/?firstName=&lastName=&status= HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:29:20 -0400] "GET /logintest/app/login/getUsers4/?firstName=&lastName=&status= HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:29:35 -0400] "GET /logintest/app/login/getUsers4/?firstName=name&lastName=&status= HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:37:22 -0400] "GET /logintest/index.js?1499359042889 HTTP/1.1" 200 11877
0:0:0:0:0:0:0:1 - - [06/Jul/2017:12:45:48 -0400] "GET /logintest/css/bootstrap.min.css.map HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [06/Jul/2017:13:54:48 -0400] "GET /logintest/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2017:13:54:48 -0400] "GET /logintest/js/jquery/jquery-3.1.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2017:13:54:48 -0400] "GET /logintest/js/angular_1-4-8.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2017:13:54:48 -0400] "GET /logintest/js/csv.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2017:13:54:48 -0400] "GET /logintest/css/pms.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2017:13:54:48 -0400] "GET /logintest/js/angular-route_1.2.13.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2017:13:54:48 -0400] "GET /logintest/js/angular-animate-1.5.0.js HTTP/1.1" 304 -
